Time,Lon,Lat,Mag,Depth,Description
2010-10-04T13:28:38.940000Z,125.2495,24.2175,6.3,32800.0,"SOUTHWESTERN RYUKYU ISL., JAPAN"
2010-10-08T03:26:14.200000Z,-175.3166,51.3459,6.4,24400.0,"ANDREANOF ISLANDS, ALEUTIAN IS."
2010-10-08T03:49:11.170000Z,-175.1876,51.4225,6.0,32400.0,"ANDREANOF ISLANDS, ALEUTIAN IS."
2010-10-08T05:43:10.020000Z,128.2214,2.7637,6.2,140800.0,"HALMAHERA, INDONESIA"
2010-10-21T17:53:13.770000Z,-109.1744,24.7878,6.7,13900.0,GULF OF CALIFORNIA
2010-10-25T14:42:22.180000Z,100.1042,-3.5248,7.8,20000.0,"SOUTHERN SUMATRA, INDONESIA"
2010-10-25T19:37:30.470000Z,100.37,-3.0065,6.3,22600.0,"SOUTHERN SUMATRA, INDONESIA"
2010-11-03T11:18:17.330000Z,134.1064,-4.6494,6.0,24600.0,"IRIAN JAYA REGION, INDONESIA"
2010-11-03T23:34:44.610000Z,-174.2158,-20.519,6.1,33100.0,TONGA ISLANDS
2010-11-10T04:05:25.140000Z,96.3646,-45.5992,6.5,15300.0,SOUTHEAST INDIAN RIDGE
2010-11-23T09:01:07.160000Z,148.978,-6.0155,6.1,73000.0,"NEW BRITAIN REGION, P.N.G."
2010-11-30T03:24:41.250000Z,139.239,28.3941,6.8,485000.0,"BONIN ISLANDS, JAPAN REGION"
2010-12-01T16:01:27.140000Z,-178.7687,-15.8273,6.0,15000.0,FIJI ISLANDS REGION
2010-12-02T03:12:09.410000Z,149.9248,-6.1002,6.6,30700.0,"NEW BRITAIN REGION, P.N.G."
2010-12-08T05:24:35.150000Z,-25.64,-56.4318,6.3,29000.0,SOUTH SANDWICH ISLANDS REGION
2010-12-13T01:14:42.830000Z,155.6959,-6.5265,6.2,144800.0,SOLOMON ISLANDS
2010-12-15T11:29:30.930000Z,128.7939,-7.2664,6.0,140400.0,BANDA SEA
2010-12-21T17:19:41.160000Z,143.7048,26.8989,7.4,13800.0,"BONIN ISLANDS, JAPAN REGION"
2010-12-22T21:49:42.030000Z,143.6076,26.7742,6.4,31900.0,"BONIN ISLANDS, JAPAN REGION"
