Event,Ev_lat,Ev_lon,Depth,Mag,Phase,Null,Quality
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20140317_051133,-20.06,-70.8284,5.3,6.4,SKKS,True,Fair
20140924_111613,-23.7849,-66.5888,204.5,6.2,SKKS,True,Fair
20150620_021007,-36.3349,-73.6674,17.4,6.4,SKKS,True,Good
20150918_091044,-32.3681,-72.2292,8.0,6.2,SKKS,True,Fair
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Good
20170224_172844,-23.2601,-178.8033,414.89,6.9,SKKS,True,Good
20170509_135210,-14.5884,167.3767,169.0,6.8,SKKS,True,Fair
20180114_091845,-15.7589,-74.7095,39.0,7.1,SKKS,True,Fair
20190926_163618,-40.8152,-72.0019,129.0,6.1,SKKS,False,Fair
20191021_025229,-19.0184,169.4883,231.0,6.4,SKKS,True,Fair
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Good
20140305_095658,-14.835,169.8319,648.0,6.4,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20140426_060220,-20.7344,-174.6481,39.4,6.1,SKKS,True,Good
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Fair
20170218_121017,-23.8613,-66.6592,222.0,6.3,SKKS,True,Fair
20170224_172844,-23.2601,-178.8033,414.89,6.9,SKKS,True,Fair
20170509_135210,-14.5884,167.3767,169.0,6.8,SKKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKKS,True,Fair
20200805_120536,-16.0919,168.078,178.9,6.4,SKKS,True,Fair
20200901_210917,-27.9154,-71.3716,14.52,6.5,SKKS,False,Poor
20201206_164742,-20.3662,-69.0663,105.0,6.1,SKKS,True,Fair
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Good
20151219_021053,-18.3819,169.3857,10.0,6.0,SKKS,True,Fair
20170509_135210,-14.5884,167.3767,169.0,6.8,SKKS,True,Good
20180410_101934,-30.9862,-71.5566,76.08,6.2,SKKS,False,Fair
20180819_042858,-16.9783,-178.0332,415.6,6.8,SKKS,True,Fair
20110131_060326,-21.9987,-175.5367,69.3,6.0,SKKS,True,Good
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,True,Good
20150520_003052,-19.3863,-175.4708,198.6,6.0,SKKS,True,Good
20170415_081943,-23.2706,-67.7655,155.0,6.2,SKKS,True,Good
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,True,Good
20180114_091845,-15.7589,-74.7095,39.0,7.1,SKKS,True,Fair
20181205_041436,-21.9814,169.3156,10.0,6.0,SKKS,True,Good
20190118_131832,-19.2079,168.6329,45.06,6.0,SKKS,True,Fair
20190731_150233,-16.1985,167.9982,181.0,6.6,SKKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,True,Fair
20150921_053934,-31.5757,-71.7431,30.0,6.1,SKKS,True,Good
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
