Time,Lon,Lat,Dep,Mag
20120417_035015,-71.5641,-32.6374,29.7,6.7
20120423_173621,-177.3408,-28.6015,113.8,6.0
20120607_040504,-70.8547,-36.0516,5.8,6.0
20120703_103615,173.66,-40.06,239.0,6.3
20130426_065328,-178.8979,-28.7301,355.4,6.2
20140703_195007,-176.4451,-30.4601,35.0,6.4
20140703_195010,-176.3,-30.35,49.1,6.3
20190519_142712,169.5741,-21.7384,19.95,6.0
20121114_190205,-71.3863,-29.1789,61.5,6.2
20130615_112037,179.4859,-33.9023,210.0,6.0
20140202_092636,-177.9203,-32.9594,32.6,6.4
20140316_211628,-70.6156,-19.9051,9.4,6.7
20150211_185720,-66.6621,-23.0653,203.6,6.7
20170415_081943,-67.7655,-23.2706,155.0,6.2
20191203_084636,-70.6504,-18.5597,32.44,6.0
20150202_104948,-67.1501,-32.6484,172.7,6.3
20180114_091845,-74.7095,-15.7589,39.0,7.1
20140404_013751,-70.5337,-20.6075,19.3,6.2
20140924_111613,-66.5888,-23.7849,204.5,6.2
20170218_121017,-66.6592,-23.8613,222.0,6.3
20180410_101934,-71.5566,-30.9862,76.08,6.2
20181101_221951,-69.2923,-19.5882,102.0,6.2
20190120_013251,-71.4202,-30.071,54.82,6.7
20190418_144601,139.4904,-51.0555,10.0,6.5
20190926_163618,-72.0019,-40.8152,129.0,6.1
20191104_215325,-71.3753,-31.8362,53.0,6.1
20201214_152049,-68.7079,-21.8063,114.0,6.0
20141116_223323,179.6109,-37.5989,34.5,6.7
20150424_033642,173.108,-42.1047,50.8,6.0
20150610_135208,-68.4519,-22.4098,121.8,6.1
20150919_050647,-72.077,-29.6411,6.0,6.1
20151107_070431,-72.3015,-29.4642,13.0,6.2
20151111_015438,-72.0068,-29.5067,12.0,6.9
20160725_172650,-70.5074,-26.1049,72.0,6.1
20150921_053934,-71.7431,-31.5757,30.0,6.1
20140326_032936,179.2589,-26.1642,495.6,6.4
20140401_234647,-70.7877,-19.6193,17.1,8.1
20200603_073534,-68.4217,-23.2955,96.84,6.8
20201206_164742,-69.0663,-20.3662,105.0,6.1
20110620_163600,-68.3834,-21.771,126.2,6.5
20130828_025441,179.7461,-27.7888,485.1,6.2
20161104_162043,-70.9964,-35.1033,90.79,6.4
20161120_205743,-68.7645,-31.6428,115.79,6.4
20140317_051133,-70.8284,-20.06,5.3,6.4
20150620_021007,-73.6674,-36.3349,17.4,6.4
20150918_091044,-72.2292,-32.3681,8.0,6.2
20120607_160318,-72.4723,-15.9117,106.7,6.2
20130130_201543,-70.8883,-28.1096,46.1,6.8
20130812_094931,-81.979,-5.4117,12.8,6.2
20131117_090456,-46.5876,-60.3783,7.9,7.8
20140323_182001,-70.7814,-19.7033,13.9,6.2
20140403_015829,-70.5007,-20.3644,10.6,6.6
20150824_094125,-179.0971,-30.6497,224.5,6.0
20150916_225915,-71.745,-31.618,26.7,6.4
20200901_210917,-71.3716,-27.9154,14.52,6.5
20110418_130304,179.9433,-34.286,98.1,6.5
20111028_185434,-76.1207,-14.5572,29.0,7.0
20120130_051059,-75.6584,-14.2139,34.2,6.4
20150922_071300,-71.2653,-31.4441,58.0,6.0
20120326_181253,-104.1936,10.0652,10.0,6.0
20121113_043130,-77.0841,-45.669,35.0,6.0
20150928_152805,-66.6,-23.8,219.0,6.0
20160908_214620,158.7126,-54.6136,10.0,6.1
20190802_055055,-113.8331,-49.7307,10.0,6.0
20200414_010647,-176.3478,-30.3889,31.0,6.0
20201227_213914,-74.9881,-39.3374,10.0,6.7
20130925_164243,-74.6012,-15.9001,38.2,7.0
20140824_232141,-73.535,-14.52,70.0,6.8
20120514_100039,-69.7926,-17.7968,108.7,6.3
20120725_112027,159.8561,-9.669,23.7,6.5
20120728_200359,153.1678,-4.654,58.8,6.5
20121119_094435,151.6402,-5.7528,22.9,6.0
20130208_111213,166.0088,-10.8703,12.7,6.8
20130319_032902,-24.5697,-58.9815,52.0,6.0
20130325_230212,-90.4772,14.5905,193.7,6.2
20130717_023743,-71.7458,-15.6661,13.0,6.0
20140311_220312,148.6003,-3.1902,16.3,6.1
20140411_202913,-86.014,11.7198,142.3,6.6
20140629_075256,-28.3956,-55.4757,15.1,6.8
20140729_104613,-95.501,17.81,99.0,6.4
20140729_132740,146.769,-3.422,9.8,6.1
20140729_132747,146.72,-3.34,12.0,6.0
20150916_140322,151.4768,-6.0114,6.0,6.1
20151118_183104,158.4217,-8.8994,12.59,6.8
20151217_194953,-93.6294,15.8009,85.0,6.6
20170630_222945,-80.4935,-0.2882,13.0,6.0
20170713_033608,153.1958,-4.7722,34.78,6.4
20170827_041751,148.0803,-1.4513,8.0,6.3
20171010_063220,-69.6411,-18.5212,82.43,6.3
20180121_010642,-69.4564,-18.8524,116.0,6.3
20180126_224757,145.8477,-3.5138,10.0,6.3
20180308_173951,153.1874,-4.3853,22.53,6.8
20180324_112332,151.4971,-5.4959,33.0,6.3
20180407_054839,142.5282,-5.8411,17.59,6.3
20190126_035138,156.3109,-7.0194,361.92,6.2
20190201_161413,-92.2981,14.7628,67.93,6.6
20190217_143555,152.1319,-3.3412,368.12,6.4
20190409_175359,-25.2559,-58.6064,44.83,6.5
20190512_192450,-82.8326,8.6227,19.0,6.0
20140412_201438,162.1387,-11.2581,15.3,7.6
20151020_215202,167.3028,-14.8595,135.0,7.1
20180906_154914,179.3555,-18.4952,617.87,7.9
20181211_022632,-26.4656,-58.5981,164.66,7.1
20190222_101722,-77.0231,-2.199,132.36,7.5
20190301_085042,-70.135,-14.7016,267.0,7.0
20120908_105145,135.0978,-3.2181,32.3,6.1
20130406_044236,138.4743,-3.4714,69.4,7.0
20130722_070141,34.8615,-46.0946,3.2,6.3
20130812_005344,129.7914,-7.1167,104.8,6.1
20130901_115232,128.2569,-7.5393,135.2,6.5
20131201_012415,128.4151,-7.0288,25.9,6.5
20140218_092714,-58.9719,14.596,28.3,6.5
20151023_040418,37.1711,-45.8146,10.0,6.0
20151121_090613,129.9375,-7.1484,82.0,6.1
20171024_104747,123.0401,-7.2364,549.19,6.7
20180226_133453,126.7272,-2.7629,9.91,6.1
20180324_195833,96.0692,-45.7783,10.0,6.0
20180325_201447,129.8138,-6.6247,169.0,6.4
20180828_070811,124.1187,-10.8859,14.0,6.2
20181216_094237,140.2323,-3.9226,61.97,6.1
20190121_235922,119.1472,-10.3113,16.77,6.0
20190122_051003,119.0309,-10.4663,27.01,6.4
20190406_215501,125.014,-6.8492,539.0,6.3
20130707_203007,149.7262,-6.036,65.9,6.6
20131016_103100,154.9648,-6.4787,58.0,6.8
