station,event,baz
BAUR,20161124_184348,309.564845464
BAUR,20180216_233939,320.14555787
BAUR,20180819_001940,69.7863158096
BAUR,20180906_154914,72.4900111531
BAUR,20200717_025022,86.5808061503
BAUR,20140316_211628,270.14159617
BAUR,20140708_125625,80.5935240428
BAUR,20150916_140322,82.6330008757
BAUR,20131201_012415,98.6638958405
BAUR,20130715_140341,210.405832439
BAUR,20131117_090456,217.23233432
BAUR,20151217_194953,315.991128832
BAUR,20160725_193845,82.6315446404
BAUR,20170614_072905,314.101667745
BAUR,20180308_173951,80.1769981662
BAUR,20180509_075755,82.3191082845
BAUR,20190201_161413,314.236460813
BAUR,20190409_175359,212.543065404
BAUR,20171024_104747,102.37144578
BAUR,20180821_213147,289.26624069
BAUR,20190619_172448,88.4722975633
ARZA,20140316_211628,270.279244645
ARZA,20170218_121017,264.01180616
ARZA,20200603_073534,265.630105833
ARZA,20201206_164742,268.841925744
ARZA,20190222_101722,290.251606009
ARZA,20200717_025022,87.2736572996
ARZA,20120321_221505,87.1671266938
ARZA,20140316_211628,270.279244645
ARZA,20140510_073600,323.73701506
ARZA,20140629_075256,216.550977126
ARZA,20140707_112354,314.860124151
ARZA,20140824_232141,277.260015365
ARZA,20140824_232143,277.137555392
ARZA,20150123_034727,80.9138953208
ARZA,20150211_185720,264.777705303
ARZA,20150610_135208,266.506236191
ARZA,20150916_140322,83.3568420327
ARZA,20121210_165309,97.8358384202
ARZA,20130406_044236,89.9648540037
ARZA,20131201_012415,99.1804526582
ARZA,20140113_040104,298.30645296
ARZA,20111214_050457,87.6608822664
ARZA,20130707_183531,80.1089357118
ARZA,20140413_123619,80.5751943314
ARZA,20150211_185720,264.777705303
ARZA,20150916_225432,258.845787283
ARZA,20160518_164643,294.369661773
ARZA,20170614_072905,314.606819354
ARZA,20180308_173951,80.910229235
ARZA,20180509_075755,83.0459277364
ARZA,20181205_041436,85.3942797034
ARZA,20190201_161413,314.742237121
ARZA,20190217_143555,80.8170366835
ARZA,20190530_090328,311.244153723
ARZA,20200603_073534,265.630105833
ARZA,20200901_040928,262.584338739
ARZA,20201130_225503,263.77259992
ARZA,20151104_034415,102.472196709
ARZA,20151204_222500,153.816210255
ARZA,20171024_104747,102.855927287
ARZA,20180325_201447,97.9678463755
ARZA,20180821_213147,289.743050441
ARZA,20200821_040952,102.152529623
TSAP,20140316_211628,270.800014712
TSAP,20140924_111613,264.520856959
TSAP,20140316_211628,270.800014712
TSAP,20140411_202913,308.236383419
TSAP,20140824_232141,277.833568912
TSAP,20140824_232143,277.710225906
TSAP,20130416_225527,87.7031403819
TSAP,20140218_092714,290.503444245
TSAP,20131117_090456,217.309437929
TSAP,20141014_035137,310.521915813
LICH,20140316_211628,270.508448858
LICH,20140403_015829,269.994864554
LICH,20180110_025131,309.506064458
LICH,20131016_103100,81.5787220463
LICH,20140316_211628,270.508448858
LICH,20140411_202913,307.813435871
LICH,20140707_112354,315.158929583
LICH,20150916_140322,83.5845925607
LICH,20121012_003131,94.1076356648
LICH,20121210_165309,98.0572619526
LICH,20130406_044236,90.1857918489
LICH,20131201_012415,99.4024963178
LICH,20140113_040104,298.53554913
LICH,20121107_163549,314.401810668
LICH,20140412_201438,80.5060750864
LICH,20170614_072905,314.903513692
LICH,20170713_033608,81.4395703656
LICH,20170923_125302,318.515957324
LICH,20180308_173951,81.1414192636
LICH,20180509_075755,83.2741649189
LICH,20160823_193944,103.523102589
LICH,20171024_104747,103.082656383
LICH,20180728_170723,103.191344534
LICH,20180821_213147,289.975351292
LICH,20180828_070811,105.094397658
ALAV,20140316_211628,270.774311095
ALAV,20140317_051133,270.769356854
ALAV,20140924_111613,264.516384669
ALAV,20150620_021007,254.85341844
ALAV,20150918_091044,258.830521887
ALAV,20180114_091845,277.465839675
ALAV,20180110_025131,309.490510792
ALAV,20180906_154914,73.3248137107
ALAV,20130707_203007,84.4937588305
ALAV,20140316_211628,270.774311095
ALAV,20140411_202913,307.847947204
ALAV,20140507_042039,81.6793632337
ALAV,20150916_140322,83.2830358461
ALAV,20121210_165309,97.9357485937
ALAV,20131201_012415,99.2885691826
ALAV,20140113_040104,298.444524215
ALAV,20140218_092714,290.036115511
ALAV,20130707_183531,80.0329290562
ALAV,20140412_201438,80.057178993
ALAV,20140413_123619,80.36541682
ALAV,20151217_194953,316.816964851
ALAV,20160518_075702,294.852000752
ALAV,20170713_033608,81.1317915322
ALAV,20180308_173951,80.836713887
ALAV,20180324_112332,82.8664118131
ALAV,20180509_075755,82.9705900218
ALAV,20181101_221951,270.195343304
ALAV,20200721_205625,74.1359657933
ALAV,20180325_201447,98.0672827313
ALAV,20180821_213147,289.915354707
ALAV,20190624_025339,98.3284609482
ALAV,20190714_053923,112.842071562
ZARN,20150824_094125,87.6458630825
ZARN,20150916_225915,258.394029036
ZARN,20180114_091845,276.378475372
ZARN,20200603_073534,265.127758127
ZARN,20160528_094659,215.03018037
ZARN,20161124_184348,309.35708994
ZARN,20180819_001940,70.4197495494
ZARN,20190222_101722,289.62469271
ZARN,20200717_025022,86.7456760999
ZARN,20130209_141606,292.456827432
ZARN,20140316_211628,269.746197924
ZARN,20140403_015829,269.237335085
ZARN,20140629_075256,216.242759212
ZARN,20140707_112354,314.161535523
ZARN,20140729_104613,318.57305296
ZARN,20150310_205544,293.400033184
ZARN,20150916_140322,82.8154441252
ZARN,20121210_165309,97.3140746457
ZARN,20130406_044236,89.4426444308
ZARN,20140113_040104,297.768542355
ZARN,20140806_114528,99.0549435958
ZARN,20131117_090456,216.962948078
ZARN,20141014_035137,309.124111304
ZARN,20151217_194953,315.806304461
ZARN,20170614_072905,313.913115886
ZARN,20170622_123104,312.276397895
ZARN,20180308_173951,80.3604484994
ZARN,20180930_105224,70.6130695595
ZARN,20190201_161413,314.045060981
ZARN,20190530_090328,310.560115088
ZARN,20151204_222500,153.34280505
ZARN,20180325_201447,97.4461781204
ZARN,20180821_213147,289.197788608
ZARN,20190624_025339,97.699368839
ZARN,20200821_040952,101.619962558
NAVR,20180114_091845,277.733760881
NAVR,20180819_001940,71.4693834629
NAVR,20181211_022632,213.467800195
NAVR,20131201_012415,99.6790745575
NAVR,20140412_201438,80.6209234103
NAVR,20170713_033608,81.620039444
NAVR,20180308_173951,81.3239864991
NAVR,20180509_075755,83.4530436147
NAVR,20180910_041902,90.0064037268
NAVR,20191102_180841,215.951435839
NAVR,20200318_031345,78.6843578669
NAVR,20180325_201447,98.4602726145
NAVR,20180821_213147,290.297902996
NAVR,20180828_070811,105.375964598
NAVR,20190619_172448,89.5083576429
NAVR,20190624_025339,98.7194149254
BYUR,20150211_185720,264.484938219
BYUR,20170415_081943,264.955469262
BYUR,20110101_095658,258.850699189
BYUR,20110113_164310,84.5156974829
BYUR,20110407_131123,317.476156724
BYUR,20110601_125521,252.487523573
BYUR,20111027_001524,71.9932870672
BYUR,20111122_184816,270.593932431
BYUR,20111211_095456,215.816823263
BYUR,20120121_184713,315.248897315
BYUR,20120417_071349,85.7189556064
BYUR,20120528_050723,257.644839217
BYUR,20120607_160318,274.931187205
BYUR,20120728_200359,80.9666281326
BYUR,20150211_185720,264.484938219
BYUR,20150323_045137,270.49217708
BYUR,20110830_065741,99.5468683844
BYUR,20111214_050457,87.4931686183
BYUR,20150211_185720,264.484938219
BYUR,20170614_072905,314.285188113
BYUR,20170713_033608,81.0407942124
BYUR,20190530_090328,310.9237602
BYUR,20171024_104747,102.633358914
BYUR,20190624_025339,98.0148887114
BYUR,20190714_053923,112.55003846
GERK,20150211_185720,264.966399757
GERK,20180114_091845,277.190429303
GERK,20200603_073534,265.812722187
GERK,20181211_022632,213.233908757
GERK,20190301_085042,274.97868797
GERK,20200717_025022,87.6967764718
GERK,20140629_075256,216.690704942
GERK,20140707_112354,315.265006503
