Station,RCphi,RCdphi,RCdt,RCddt,SCphi,SCdphi,SCdt,SCddt,SKSnonNull,SKSNull,SKKSnonNull,SKKSNull,nonNull,Null
AM.ALAV,32,26,1.11,0.55,41,17,1.18,0.46,2,26,1,6,3,32
AM.ARZA,41,45,1.2,0.98,64,10,1.4,0.35,1,39,0,4,1,43
AM.BAUR,57,17,1.05,0.35,59,12,0.88,0.28,5,21,1,0,6,21
AM.BYUR,67,32,0.37,0.69,27,13,0.38,0.38,2,23,0,2,2,25
AM.GERK,,,,,,,,,0,27,0,3,0,30
AM.KECH,,,,,,,,,0,6,0,2,0,8
AM.LICH,,,,,,,,,0,23,0,2,0,25
AM.MAGY,67,24,0.95,0.56,69,10,0.73,0.24,2,26,0,4,2,30
AM.NAVR,39,45,0.4,0.98,54,45,0.5,0.98,1,15,0,1,1,16
AM.SHEN,44,45,1.2,0.98,28,45,1.3,0.98,0,19,1,2,1,21
AM.TSAP,-33,32,0.11,0.69,-23,24,0.2,0.52,2,8,0,2,2,10
AM.VAND,43,20,0.88,0.44,45,13,0.77,0.3,3,13,1,3,4,16
AM.ZARN,50,14,1.33,0.31,37,5,1.51,0.18,9,31,0,4,9,35
GO.AKH,40,8,1.14,0.17,40,3,1.14,0.09,16,29,7,6,23,35
GO.BGD,,,,,,,,,0,2,0,0,0,2
GO.CHVG,,,,,,,,,0,2,0,0,0,2
GO.DGRG,,,,,,,,,0,2,0,1,0,3
GO.GUDG,,,,,,,,,0,6,0,4,0,10
GO.ONI,42,10,1.11,0.23,50,5,1.19,0.13,14,25,2,8,16,33
GO.SEAG,,,,,,,,,0,1,0,0,0,1
GO.TBLG,46,13,1,0.28,37,6,1.07,0.18,8,18,1,8,9,26
GO.TRLG,,,,,,,,,0,14,0,3,0,17
II.KIV,36,12,0.78,0.26,36,9,0.75,0.19,7,97,3,13,10,110
IU.GNI,54,8,0.64,0.18,54,7,0.68,0.17,19,75,7,18,26,93
TG.ABST,28,26,1.4,0.54,25,16,1.65,0.36,3,16,0,2,3,18
TG.AMBR,40,18,1.22,0.38,33,11,1.29,0.33,5,18,0,0,5,18
TG.AZMN,38,45,1.4,0.98,44,12,1.4,0.3,0,4,1,1,1,5
TG.BATM,27,45,2.2,0.98,42,8,2.5,0.5,1,4,0,0,1,4
TG.BKRG,,,,,,,,,0,9,0,0,0,9
TG.BRNG,,,,,,,,,0,3,0,0,0,3
TG.BURN,,,,,,,,,0,1,0,1,0,2
TG.DDFL,55,22,1.01,0.51,57,17,1.01,0.46,3,14,0,3,3,17
TG.DMNI,45,18,0.98,0.36,43,7,1.14,0.25,4,8,1,1,5,9
TG.GANZ,,,,,,,,,0,4,0,0,0,4
TG.GUDA,,,,,,,,,0,4,0,0,0,4
TG.KHVA,,,,,,,,,0,2,0,0,0,2
TG.KZRT,,,,,,,,,0,14,0,2,0,16
TG.LGD,,,,,,,,,0,7,0,0,0,7
TG.TKBL,51,19,0.95,0.44,55,12,0.88,0.34,5,10,0,2,5,12
TG.TRLT,50,24,0.77,0.51,27,11,1.1,0.35,2,23,0,2,2,25
TG.URAV,39,45,0.8,0.98,43,16,0.8,0.25,1,20,0,1,1,21
AB.GANJ,-45,22,0.74,0.48,-41,17,0.73,0.46,3,3,0,0,3,3
AB.QZX,77,45,0.7,0.98,66,45,0.7,0.98,1,1,0,0,1,1
AB.ZKT,,,,,,,,,0,1,0,0,0,1
KO.TASB,74,13,0.59,0.29,73,11,0.53,0.23,9,32,0,14,9,46
KO.BCA,44,12,1.18,0.27,57,5,1.41,0.14,12,43,1,7,13,50
,,,,,,,,,,,,,167,921
