Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.45,40.12,35.84,0.8
GNI,20200603_073534,44.44,40.13,34.43,0.8
GNI,20120703_103615,45.0,40.09,70.94,0.7
GNI,20180410_101934,44.46,40.11,48.16,0.7
GNI,20150610_135208,44.44,40.13,57.31,0.6
GNI,20150211_185720,44.44,40.13,25.59,0.5
GNI,20190120_013251,44.46,40.11,32.11,0.3
GNI,20190301_085042,44.58,40.16,72.58,1.9
GNI,20180907_021204,44.59,40.19,51.49,1.8
GNI,20201006_101146,44.85,40.17,-57.1,1.4
GNI,20110824_174611,44.58,40.18,41.85,1.3
GNI,20120802_093831,44.58,40.18,54.95,1.1
GNI,20181211_022632,44.65,40.04,72.04,1.1
GNI,20200603_073534,44.59,40.14,63.0,1.0
GNI,20160804_141513,44.59,40.14,54.93,0.8
GNI,20200531_050938,44.58,40.16,57.0,0.8
GNI,20180121_010642,44.59,40.15,64.33,0.8
GNI,20170415_081943,44.59,40.14,50.06,0.8
GNI,20160804_141513,44.59,40.14,45.93,0.8
GNI,20150610_135208,44.59,40.14,51.0,0.7
GNI,20190503_072529,44.91,40.17,39.35,0.7
GNI,20141206_220510,45.0,40.12,39.23,0.7
GNI,20140218_092714,44.49,40.22,58.0,0.6
GNI,20150211_185720,44.59,40.14,32.0,0.5
GNI,20120607_160318,44.59,40.16,37.07,0.5
GNI,20110306_123158,44.59,40.15,62.0,0.4
ALAV,20190926_163618,44.49,41.04,34.51,1.9
ALAV,20180728_170723,45.03,41.07,55.12,1.4
ALAV,20190619_172448,45.01,41.12,29.1,0.5
ARZA,20190301_085042,44.43,40.51,63.74,1.4
BAUR,20180410_101934,43.51,41.07,26.49,1.6
BAUR,20181211_022632,43.71,41.01,-83.01,1.4
BAUR,20200506_135356,44.07,41.09,59.54,1.4
BAUR,20180325_201447,44.07,41.09,48.44,1.2
BAUR,20140218_092714,43.54,41.18,66.41,0.9
BAUR,20200821_040952,44.08,41.07,65.67,0.9
BYUR,20190301_085042,44.11,40.34,48.43,1.3
BYUR,20130406_044236,44.51,40.33,-24.0,0.9
MAGY,20161221_001714,44.67,41.0,49.74,1.1
MAGY,20181211_022632,44.31,40.93,-86.82,0.9
NAVR,20150916_140322,45.55,40.88,54.0,0.5
SHEN,20150211_185720,43.89,40.77,27.71,1.3
TSAP,20130406_044236,45.73,40.4,-46.0,0.8
TSAP,20150211_185720,45.33,40.39,30.0,0.6
VAND,20201206_164742,43.51,40.1,23.12,1.3
VAND,20200821_040952,44.09,40.06,71.62,1.3
VAND,20200603_073534,43.66,40.1,20.92,1.2
VAND,20160823_193944,44.09,40.06,70.76,0.9
ZARN,20190301_085042,43.62,40.49,29.0,2.5
ZARN,20140824_232141,43.63,40.5,43.0,2.1
ZARN,20140824_232143,43.63,40.5,43.0,2.1
ZARN,20200603_073534,43.63,40.47,31.0,1.9
ZARN,20150211_185720,43.63,40.47,27.28,1.3
ZARN,20181211_022632,43.69,40.37,53.0,1.1
ZARN,20150323_045137,43.63,40.48,42.0,1.1
ZARN,20150211_185720,43.63,40.47,32.28,1.0
ZARN,20150211_185720,43.63,40.47,32.28,1.0
BCA,20120607_040504,41.34,41.38,46.61,1.9
BCA,20120908_105145,41.87,41.44,67.96,2.4
BCA,20130901_115232,41.88,41.42,75.71,2.1
BCA,20140311_220312,41.83,41.47,51.84,1.8
BCA,20150928_152805,41.46,41.43,47.78,1.7
BCA,20170827_041751,41.83,41.47,56.87,1.7
BCA,20120514_100039,41.46,41.45,52.26,1.6
BCA,20131201_012415,41.88,41.42,72.22,1.6
BCA,20140412_201438,41.78,41.47,46.56,1.4
BCA,20130717_023743,41.46,41.45,51.46,1.2
BCA,20151023_040418,41.61,41.23,33.12,1.1
BCA,20120607_160318,41.46,41.45,64.74,0.8
BCA,20130722_070141,41.6,41.23,51.71,0.6
TASB,20140629_075256,44.14,39.88,-72.72,1.9
TASB,20120514_100039,44.08,39.99,66.18,1.2
TASB,20181115_200222,44.14,39.87,83.16,1.1
TASB,20140315_235132,44.09,40.02,45.98,1.0
TASB,20140924_111613,44.09,39.97,36.0,0.8
TASB,20180907_021204,44.08,40.03,50.08,0.8
TASB,20150216_220054,44.14,39.88,88.19,0.6
TASB,20120728_200359,44.43,40.01,-40.95,0.5
TASB,20160212_100224,44.52,39.92,49.78,0.5
AKH,20161104_162043,43.21,41.35,11.65,2.0
AKH,20140316_211628,43.19,41.41,30.11,1.7
AKH,20160725_172650,43.19,41.39,45.05,1.5
AKH,20161120_205743,43.2,41.36,47.31,1.5
AKH,20170415_081943,43.19,41.39,38.13,1.5
AKH,20121114_190205,43.2,41.38,23.39,1.1
AKH,20120423_173621,43.76,41.44,55.76,0.9
AKH,20140323_182001,43.34,41.41,26.0,2.1
AKH,20140413_123619,43.65,41.43,49.29,1.4
AKH,20140316_211628,43.34,41.41,38.11,1.3
AKH,20140824_232141,43.33,41.42,47.0,1.3
AKH,20120514_100039,43.33,41.41,46.49,1.2
AKH,20140322_125957,43.34,41.41,41.0,1.2
AKH,20140824_232143,43.33,41.42,56.0,1.2
AKH,20160725_172650,43.35,41.4,29.05,1.2
AKH,20130704_171557,43.68,41.43,43.0,1.1
AKH,20140403_015829,43.34,41.41,46.61,1.1
AKH,20160804_141513,43.33,41.4,35.94,1.0
AKH,20130717_023743,43.33,41.42,56.73,1.0
AKH,20130717_023743,43.33,41.42,55.73,1.0
AKH,20160804_141513,43.33,41.4,38.94,1.0
AKH,20120417_071349,43.7,41.42,31.94,0.7
AKH,20121119_094435,43.69,41.43,58.0,0.7
ONI,20151107_070431,43.15,42.56,46.5,1.7
ONI,20140316_211628,43.14,42.59,23.79,1.5
ONI,20140924_111613,43.29,42.58,59.0,1.7
ONI,20150928_152805,43.29,42.58,50.56,1.7
ONI,20150211_185720,43.29,42.58,53.28,1.5
ONI,20150211_185720,43.29,42.58,53.28,1.5
ONI,20160804_141513,43.29,42.58,38.56,1.4
ONI,20150323_045137,43.29,42.59,56.21,1.3
ONI,20160804_141513,43.29,42.58,40.56,1.3
ONI,20160823_193944,43.73,42.54,78.66,1.3
ONI,20140316_211628,43.29,42.59,59.79,1.2
ONI,20160725_172650,43.3,42.58,33.83,1.1
ONI,20150610_135208,43.29,42.58,58.05,1.0
ONI,20140824_232141,43.29,42.61,44.0,0.9
ONI,20140824_232143,43.29,42.61,45.0,0.9
ONI,20151121_090613,43.72,42.56,62.47,0.9
TBLG,20130130_201543,44.44,41.7,57.2,1.6
TBLG,20120725_112027,44.91,41.75,28.0,1.6
TBLG,20120514_100039,44.58,41.74,40.52,1.5
TBLG,20140323_182001,44.58,41.73,26.44,1.4
