#upper, lower, time
0.500000, 0.500000, 20220818_185852
0.500000, 1.000000, 20220818_185853
0.500000, 1.500000, 20220818_185854
0.500000, 2.000000, 20220818_185855
0.500000, 2.500000, 20220818_185857
0.500000, 3.000000, 20220818_185858
0.500000, 3.500000, 20220818_185859
0.500000, 4.000000, 20220818_185900
0.500000, 4.500000, 20220818_185901
1.000000, 0.500000, 20220818_185903
1.000000, 1.000000, 20220818_185904
1.000000, 1.500000, 20220818_185905
1.000000, 2.000000, 20220818_185906
1.000000, 2.500000, 20220818_185907
1.000000, 3.000000, 20220818_185908
1.000000, 3.500000, 20220818_185909
1.000000, 4.000000, 20220818_185911
1.000000, 4.500000, 20220818_185912
1.500000, 0.500000, 20220818_185913
1.500000, 1.000000, 20220818_185914
1.500000, 1.500000, 20220818_185915
1.500000, 2.000000, 20220818_185916
1.500000, 2.500000, 20220818_185918
1.500000, 3.000000, 20220818_185919
1.500000, 3.500000, 20220818_185920
1.500000, 4.000000, 20220818_185921
1.500000, 4.500000, 20220818_185923
2.000000, 0.500000, 20220818_185924
2.000000, 1.000000, 20220818_185925
2.000000, 1.500000, 20220818_185926
2.000000, 2.000000, 20220818_185927
2.000000, 2.500000, 20220818_185928
2.000000, 3.000000, 20220818_185930
2.000000, 3.500000, 20220818_185931
2.000000, 4.000000, 20220818_185932
2.000000, 4.500000, 20220818_185933
2.500000, 0.500000, 20220818_185934
2.500000, 1.000000, 20220818_185935
2.500000, 1.500000, 20220818_185936
2.500000, 2.000000, 20220818_185937
2.500000, 2.500000, 20220818_185938
2.500000, 3.000000, 20220818_185940
2.500000, 3.500000, 20220818_185941
2.500000, 4.000000, 20220818_185942
2.500000, 4.500000, 20220818_185943
3.000000, 0.500000, 20220818_185944
3.000000, 1.000000, 20220818_185945
3.000000, 1.500000, 20220818_185946
3.000000, 2.000000, 20220818_185947
3.000000, 2.500000, 20220818_185948
3.000000, 3.000000, 20220818_185949
3.000000, 3.500000, 20220818_185950
3.000000, 4.000000, 20220818_185952
3.000000, 4.500000, 20220818_185953
3.500000, 0.500000, 20220818_185954
3.500000, 1.000000, 20220818_185955
3.500000, 1.500000, 20220818_185956
3.500000, 2.000000, 20220818_185957
3.500000, 2.500000, 20220818_185958
3.500000, 3.000000, 20220818_185959
3.500000, 3.500000, 20220818_190000
3.500000, 4.000000, 20220818_190001
