Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.29,40.11,35.84,0.8
GNI,20200603_073534,44.28,40.12,34.43,0.8
GNI,20120703_103615,45.14,40.05,70.94,0.7
GNI,20180410_101934,44.3,40.08,48.16,0.7
GNI,20150610_135208,44.27,40.12,57.31,0.6
GNI,20150211_185720,44.27,40.11,25.59,0.5
GNI,20190120_013251,44.3,40.09,32.11,0.3
GNI,20190301_085042,44.49,40.16,72.58,1.9
GNI,20180907_021204,44.5,40.22,51.49,1.8
GNI,20201006_101146,44.9,40.19,-57.1,1.4
GNI,20110824_174611,44.49,40.19,41.85,1.3
GNI,20120802_093831,44.49,40.19,54.95,1.1
GNI,20181211_022632,44.6,39.98,72.04,1.1
GNI,20200603_073534,44.51,40.13,63.0,1.0
GNI,20160804_141513,44.5,40.13,54.93,0.8
GNI,20200531_050938,44.5,40.16,57.0,0.8
GNI,20180121_010642,44.5,40.15,64.33,0.8
GNI,20170415_081943,44.51,40.13,50.06,0.8
GNI,20160804_141513,44.5,40.13,45.93,0.8
GNI,20150610_135208,44.51,40.14,51.0,0.7
GNI,20190503_072529,45.01,40.19,39.35,0.7
GNI,20141206_220510,45.15,40.11,39.23,0.7
GNI,20140218_092714,44.35,40.25,58.0,0.6
GNI,20150211_185720,44.5,40.13,32.0,0.5
GNI,20120607_160318,44.5,40.16,37.07,0.5
GNI,20110306_123158,44.5,40.15,62.0,0.4
ALAV,20190926_163618,44.34,41.0,34.51,1.9
ALAV,20180728_170723,45.19,41.04,55.12,1.4
ALAV,20190619_172448,45.15,41.12,29.1,0.5
ARZA,20190301_085042,44.34,40.51,63.74,1.4
BAUR,20180410_101934,43.35,41.05,26.49,1.6
BAUR,20181211_022632,43.66,40.95,-83.01,1.4
BAUR,20200506_135356,44.21,41.07,59.54,1.4
BAUR,20180325_201447,44.21,41.07,48.44,1.2
BAUR,20140218_092714,43.4,41.22,66.41,0.9
BAUR,20200821_040952,44.23,41.05,65.67,0.9
BYUR,20190301_085042,44.02,40.34,48.43,1.3
BYUR,20130406_044236,44.65,40.33,-24.0,0.9
MAGY,20161221_001714,44.82,40.98,49.74,1.1
MAGY,20181211_022632,44.26,40.87,-86.82,0.9
NAVR,20150916_140322,45.66,40.89,54.0,0.5
SHEN,20150211_185720,43.72,40.76,27.71,1.3
TSAP,20130406_044236,45.87,40.4,-46.0,0.8
TSAP,20150211_185720,45.25,40.38,30.0,0.6
VAND,20201206_164742,43.34,40.09,23.12,1.3
VAND,20200821_040952,44.24,40.04,71.62,1.3
VAND,20200603_073534,43.58,40.09,20.92,1.2
VAND,20160823_193944,44.24,40.03,70.76,0.9
ZARN,20190301_085042,43.53,40.5,29.0,2.5
ZARN,20140824_232141,43.54,40.5,43.0,2.1
ZARN,20140824_232143,43.54,40.5,43.0,2.1
ZARN,20200603_073534,43.55,40.47,31.0,1.9
ZARN,20150211_185720,43.54,40.46,27.28,1.3
ZARN,20181211_022632,43.64,40.31,53.0,1.1
ZARN,20150323_045137,43.54,40.48,42.0,1.1
ZARN,20150211_185720,43.54,40.46,32.28,1.0
ZARN,20150211_185720,43.54,40.46,32.28,1.0
BCA,20120607_040504,41.18,41.34,46.61,1.9
BCA,20120908_105145,42.01,41.44,67.96,2.4
BCA,20130901_115232,42.02,41.4,75.71,2.1
BCA,20140311_220312,41.94,41.48,51.84,1.8
BCA,20150928_152805,41.37,41.42,47.78,1.7
BCA,20170827_041751,41.95,41.49,56.87,1.7
BCA,20120514_100039,41.36,41.44,52.26,1.6
BCA,20131201_012415,42.03,41.4,72.22,1.6
BCA,20140412_201438,41.86,41.48,46.56,1.4
BCA,20130717_023743,41.37,41.46,51.46,1.2
BCA,20151023_040418,41.6,41.11,33.12,1.1
BCA,20120607_160318,41.37,41.46,64.74,0.8
BCA,20130722_070141,41.59,41.11,51.71,0.6
TASB,20140629_075256,44.08,39.82,-72.72,1.9
TASB,20120514_100039,44.0,39.99,66.18,1.2
TASB,20181115_200222,44.09,39.81,83.16,1.1
TASB,20140315_235132,44.01,40.05,45.98,1.0
TASB,20140924_111613,44.0,39.96,36.0,0.8
TASB,20180907_021204,44.0,40.05,50.08,0.8
TASB,20150216_220054,44.08,39.82,88.19,0.6
TASB,20120728_200359,44.54,40.02,-40.95,0.5
TASB,20160212_100224,44.68,39.88,49.78,0.5
AKH,20161104_162043,43.05,41.32,11.65,2.0
AKH,20140316_211628,43.01,41.41,30.11,1.7
AKH,20160725_172650,43.03,41.37,45.05,1.5
AKH,20161120_205743,43.04,41.33,47.31,1.5
AKH,20170415_081943,43.02,41.38,38.13,1.5
AKH,20121114_190205,43.04,41.36,23.39,1.1
AKH,20120423_173621,43.9,41.45,55.76,0.9
AKH,20140323_182001,43.25,41.41,26.0,2.1
AKH,20140413_123619,43.74,41.44,49.29,1.4
AKH,20140316_211628,43.25,41.41,38.11,1.3
AKH,20140824_232141,43.25,41.43,47.0,1.3
AKH,20120514_100039,43.24,41.41,46.49,1.2
AKH,20140322_125957,43.25,41.41,41.0,1.2
AKH,20140824_232143,43.25,41.43,56.0,1.2
AKH,20160725_172650,43.27,41.39,29.05,1.2
AKH,20130704_171557,43.78,41.45,43.0,1.1
AKH,20140403_015829,43.25,41.41,46.61,1.1
AKH,20160804_141513,43.24,41.39,35.94,1.0
AKH,20130717_023743,43.24,41.42,56.73,1.0
AKH,20130717_023743,43.24,41.42,55.73,1.0
AKH,20160804_141513,43.24,41.39,38.94,1.0
AKH,20120417_071349,43.82,41.43,31.94,0.7
AKH,20121119_094435,43.8,41.44,58.0,0.7
ONI,20151107_070431,42.99,42.54,46.5,1.7
ONI,20140316_211628,42.96,42.59,23.79,1.5
ONI,20140924_111613,43.2,42.57,59.0,1.7
ONI,20150928_152805,43.2,42.57,50.56,1.7
ONI,20150211_185720,43.2,42.57,53.28,1.5
ONI,20150211_185720,43.2,42.57,53.28,1.5
ONI,20160804_141513,43.2,42.58,38.56,1.4
ONI,20150323_045137,43.2,42.59,56.21,1.3
ONI,20160804_141513,43.2,42.58,40.56,1.3
ONI,20160823_193944,43.89,42.52,78.66,1.3
ONI,20140316_211628,43.21,42.59,59.79,1.2
ONI,20160725_172650,43.22,42.57,33.83,1.1
ONI,20150610_135208,43.21,42.58,58.05,1.0
ONI,20140824_232141,43.2,42.61,44.0,0.9
ONI,20140824_232143,43.2,42.61,45.0,0.9
ONI,20151121_090613,43.86,42.55,62.47,0.9
TBLG,20130130_201543,44.28,41.69,57.2,1.6
TBLG,20120725_112027,45.01,41.76,28.0,1.6
TBLG,20120514_100039,44.49,41.74,40.52,1.5
TBLG,20140323_182001,44.5,41.73,26.44,1.4
TBLG,20130717_023743,44.49,41.75,22.79,1.3
TBLG,20120205_001540,44.95,41.75,17.0,1.1
TBLG,20120607_160318,44.5,41.75,65.0,1.0
TBLG,20130717_023743,44.49,41.75,37.0,0.8
TBLG,20140316_211628,44.5,41.73,46.0,0.8
ABST,20120305_074609,42.57,41.71,14.0,2.0
ABST,20110306_123158,42.56,41.76,29.66,1.7
ABST,20130222_120158,42.57,41.72,34.75,1.5
AMBR,20120528_050723,42.9,42.48,32.24,1.6
AMBR,20120514_100039,42.88,42.52,25.86,1.5
AMBR,20111122_184816,42.86,42.52,35.82,1.4
AMBR,20110902_134710,42.9,42.48,25.89,1.3
AMBR,20110109_100343,43.35,42.54,51.0,0.9
AZMN,20140401_234647,42.81,41.32,44.3,1.4
BATM,20140412_201438,41.94,41.64,42.0,2.5
DDFL,20140824_232141,45.88,41.47,54.0,1.1
DDFL,20140824_232143,45.88,41.47,53.0,1.1
DDFL,20141206_220510,46.54,41.4,67.14,0.9
DMNI,20150211_185720,43.71,41.3,20.02,1.2
DMNI,20160212_100224,44.63,41.23,46.0,1.8
DMNI,20150227_134505,44.62,41.25,60.1,1.2
DMNI,20150211_185720,43.95,41.31,44.02,1.1
