deg. mm/yr mm/yr mm/yr mm/yr mm/yr mm/yr
0.336 50.867 -0.37 0.47 0.38 0.38 -0.002
1.481 43.561 -0.36 0.40 0.68 0.68 0.000
1.481 43.561 -0.36 0.40 0.68 0.68 0.000
4.359 50.798 -0.27 -0.33 0.45 0.44 0.000
5.810 52.178 -0.30 -0.06 0.37 0.36 -0.001
6.605 52.915 0.14 0.51 0.52 0.52 0.000
6.921 43.755 0.71 0.20 0.47 0.46 0.000
7.465 46.877 0.47 0.46 0.45 0.45 0.000
9.672 0.354 -1.24 3.55 0.67 0.66 0.001
11.113 44.122 0.13 0.65 1.03 1.03 0.001
11.280 48.086 0.39 0.50 0.72 0.72 0.000
11.647 44.520 3.01 1.36 0.49 0.49 0.000
11.865 78.930 -0.29 -0.40 0.32 0.32 0.000
11.911 45.385 0.22 1.62 0.78 0.78 0.000
11.926 57.395 -1.36 0.11 0.38 0.37 0.019
12.291 45.230 -0.95 1.47 0.78 0.78 -0.001
12.332 45.437 -3.87 4.24 1.15 1.16 0.000
12.583 45.479 0.17 2.21 0.79 0.79 -0.002
12.879 49.144 0.33 0.47 0.46 0.47 0.000
13.066 52.379 0.12 -0.01 0.46 0.46 -0.001
13.350 42.368 0.84 2.73 0.61 0.61 0.000
13.552 -1.632 -1.86 4.87 0.76 0.76 0.001
14.786 49.914 0.67 0.05 0.44 0.44 0.001
14.990 36.876 -2.18 4.03 0.61 0.59 -0.003
14.990 36.876 -2.18 4.03 0.61 0.59 -0.003
15.493 47.067 0.78 0.50 0.40 0.39 0.000
16.310 39.201 1.93 3.12 0.81 0.80 0.001
16.704 40.649 1.43 4.50 0.39 0.39 0.001
17.073 52.277 0.12 0.20 0.45 0.45 0.000
18.414 43.868 3.24 0.10 0.67 0.67 -0.001
18.440 -34.188 -0.11 3.18 0.95 0.95 0.002
18.938 69.663 -0.62 0.82 0.31 0.31 0.006
19.282 47.790 2.73 -0.35 0.65 0.63 0.000
20.665 39.734 -1.25 -2.47 0.74 0.65 0.058
20.670 53.892 -0.88 0.30 0.43 0.43 -0.001
20.794 41.127 0.44 -2.78 0.68 0.67 0.000
20.810 -32.380 1.71 4.59 0.53 0.52 0.001
20.811 -32.381 1.71 4.59 0.53 0.52 0.001
20.968 67.857 -1.00 -0.01 0.46 0.46 -0.001
21.032 52.097 0.12 0.38 0.45 0.45 0.000
21.878 36.791 -18.73 -25.11 0.43 0.41 0.053
21.928 38.427 -11.94 -11.44 0.80 0.80 -0.001
22.046 38.209 -14.45 -24.60 0.89 0.89 -0.002
22.073 38.365 -14.61 -14.14 0.89 0.89 -0.002
22.184 38.322 -13.93 -14.81 0.80 0.80 0.000
22.201 38.529 -11.40 -13.47 0.83 0.83 -0.001
22.544 39.937 2.39 -6.77 0.46 0.45 0.011
22.823 37.184 -17.48 -27.47 0.44 0.40 0.050
22.945 38.888 -8.42 -15.27 0.44 0.42 0.032
22.984 36.307 -15.41 -25.84 0.75 0.63 0.135
23.125 41.459 0.92 -1.54 1.32 1.27 -0.008
23.138 43.110 -1.86 -1.12 1.32 1.23 0.001
23.395 42.556 1.05 -2.21 0.53 0.53 0.000
23.425 42.477 -2.91 -1.17 1.23 1.13 0.010
23.428 40.789 -0.09 -5.36 0.79 0.67 0.103
23.569 41.823 -0.56 -2.75 1.34 1.30 -0.012
23.916 41.597 -0.07 -3.67 1.25 1.21 -0.003
23.919 39.994 1.06 -10.04 0.72 0.65 0.078
23.932 35.325 -15.56 -24.20 0.75 0.62 0.128
23.932 38.079 -15.98 -25.83 0.39 0.37 0.040
23.933 38.079 -15.98 -25.83 0.39 0.37 0.040
24.392 38.086 -15.23 -25.88 0.65 0.60 0.058
24.395 60.217 0.54 -0.41 0.42 0.42 0.001
24.410 37.363 -17.29 -25.79 0.68 0.60 0.090
24.521 36.747 -16.36 -24.64 0.66 0.59 0.082
24.543 38.887 -12.15 -23.82 0.73 0.65 0.061
24.627 40.593 -0.86 -2.87 0.80 0.70 0.073
24.634 43.362 0.75 0.55 1.42 1.27 -0.004
24.694 35.404 -16.07 -26.93 0.64 0.59 0.072
24.753 42.146 -0.83 -2.31 1.29 1.26 -0.013
25.126 39.851 -14.81 -12.59 0.71 0.64 0.071
25.277 42.963 1.15 0.62 1.29 1.19 0.000
25.379 37.449 -16.21 -26.40 0.84 0.79 0.018
25.402 41.545 1.26 -2.10 1.27 1.22 -0.009
25.439 36.346 -16.77 -30.61 0.42 0.40 0.048
25.513 40.466 -2.42 -3.70 0.81 0.79 0.022
25.566 40.928 0.64 -2.05 0.77 0.74 0.013
26.082 39.501 -20.82 -9.08 0.96 0.97 -0.017
26.085 38.443 -19.07 -22.96 0.72 0.65 0.066
26.126 44.464 0.72 -1.36 0.59 0.59 0.000
26.157 39.731 -20.86 -9.16 0.93 0.95 -0.018
26.174 39.973 -16.38 -9.61 0.67 0.61 -0.012
26.189 39.614 -19.94 -9.85 0.93 0.95 -0.025
26.206 35.129 -15.40 -28.08 0.43 0.41 0.042
26.216 39.726 -21.11 -9.61 0.95 0.96 0.001
26.268 43.599 -0.34 -0.47 1.33 1.25 -0.005
26.309 42.075 0.03 0.02 1.24 1.19 -0.005
26.317 39.785 -20.05 -9.19 0.95 0.99 0.001
26.385 38.311 -17.64 -22.39 0.69 0.67 -0.002
26.406 36.586 -14.23 -30.03 0.68 0.60 0.096
26.451 39.234 -19.47 -12.68 0.74 0.65 0.048
26.535 39.580 -20.45 -6.51 0.94 0.96 0.004
26.700 39.311 -18.80 -11.72 0.76 0.70 0.003
26.706 40.739 -4.84 -3.34 0.71 0.71 0.021
26.707 39.326 -21.06 -9.80 0.73 0.71 -0.009
26.725 43.488 -0.68 -0.37 1.34 1.27 -0.001
26.732 39.653 -22.65 -7.26 0.94 0.93 0.023
26.871 40.601 -13.42 -4.14 0.91 0.94 0.055
26.880 40.396 -19.20 -6.57 0.90 0.92 0.035
26.885 39.010 -21.06 -13.52 1.78 1.75 -0.019
26.910 40.029 -19.70 -8.64 0.93 0.93 0.040
26.929 36.752 -15.88 -26.53 0.72 0.62 0.079
26.989 37.780 -18.97 -23.89 0.70 0.61 0.074
27.085 38.019 -20.01 -19.68 0.69 0.61 -0.070
27.112 39.244 -19.64 -12.11 1.67 1.72 -0.004
27.214 40.171 -19.97 -9.04 0.92 0.93 0.050
27.217 39.897 -19.62 -8.40 0.61 0.60 0.017
27.224 35.493 -12.00 -30.43 0.43 0.41 0.033
27.231 31.346 -2.53 4.44 0.88 0.77 0.003
27.269 39.577 -20.77 -6.40 0.95 0.94 0.043
27.301 40.381 -18.24 -5.55 0.89 0.89 0.049
27.308 38.711 -17.44 -14.74 0.77 0.72 0.004
27.316 39.024 -20.63 -13.31 0.76 0.71 0.013
27.393 40.811 -3.53 -4.76 0.71 0.68 -0.010
27.394 36.681 -11.85 -29.90 0.64 0.60 -0.031
27.423 37.032 -15.96 -26.08 0.67 0.58 -0.048
27.424 39.785 -22.95 -8.51 0.73 0.72 0.022
27.442 42.666 0.93 -0.45 1.26 1.22 -0.010
27.483 42.484 -1.71 -0.88 1.35 1.30 -0.003
27.486 37.818 -19.66 -18.98 0.91 0.87 -0.018
27.586 40.588 -15.04 -5.80 1.14 1.06 0.008
27.590 39.295 -16.75 -12.25 1.64 1.66 -0.011
27.629 40.245 -20.01 -5.48 0.92 0.93 0.054
27.687 -25.890 1.86 4.43 0.33 0.32 -0.009
27.707 -25.887 1.86 4.43 0.33 0.32 -0.009
27.708 -25.887 1.86 4.43 0.33 0.32 -0.009
27.763 40.059 -22.89 -2.94 0.94 0.94 0.045
27.779 41.827 0.91 -0.09 0.73 0.69 -0.018
27.781 35.952 -8.21 -28.82 0.44 0.42 0.037
27.816 40.400 -20.96 -3.23 0.69 0.68 0.014
27.836 37.196 -17.58 -24.98 0.63 0.58 -0.055
27.873 39.006 -21.02 -10.31 0.68 0.66 0.014
27.906 39.722 -21.20 -4.53 0.71 0.63 0.003
27.960 40.971 2.72 -0.59 0.65 0.62 -0.001
27.963 36.772 -14.23 -25.98 0.59 0.53 -0.036
28.000 38.248 -20.62 -12.62 0.93 0.87 -0.009
28.081 37.609 -20.77 -20.94 0.63 0.54 -0.051
28.293 41.475 1.27 -0.67 1.16 1.05 -0.007
28.311 -15.426 -0.02 5.24 0.90 0.90 0.002
28.365 41.052 -1.60 0.79 1.15 1.06 -0.005
28.373 40.398 -19.18 -1.24 1.23 1.06 -0.013
28.427 37.175 -18.12 -20.77 0.74 0.69 -0.047
28.483 38.315 -22.61 -13.18 0.96 0.89 0.004
28.671 39.046 -21.14 -6.39 0.71 0.67 -0.004
28.779 40.167 -20.40 -2.55 0.93 0.93 0.056
28.826 36.762 -15.74 -20.01 0.98 0.79 -0.013
28.882 40.481 -18.20 4.92 1.99 1.68 -0.014
28.923 39.930 -23.43 -0.54 0.96 0.95 0.057
29.020 41.104 -2.02 0.06 0.68 0.68 -0.012
29.048 37.566 -21.27 -15.37 1.02 0.97 -0.052
29.064 41.064 -2.42 0.94 0.61 0.58 0.000
29.102 40.136 -23.43 -3.04 0.71 0.70 -0.001
29.106 40.270 -20.83 0.44 0.92 0.92 0.043
29.111 40.165 -21.26 -0.75 0.93 0.93 0.056
29.136 37.941 -21.80 -7.82 0.67 0.63 -0.008
29.141 40.122 -19.44 -2.33 0.79 0.76 -0.006
29.143 40.639 -15.62 1.09 0.71 0.69 0.003
29.146 40.460 -20.09 1.83 0.92 0.92 0.043
29.261 40.200 -21.11 -1.34 0.93 0.93 0.051
29.288 40.485 -15.40 1.47 1.81 1.55 0.006
29.392 37.448 -21.04 -11.21 0.99 0.89 -0.060
29.423 40.821 -8.85 0.83 0.68 0.68 0.031
29.439 36.720 -15.12 -11.57 0.68 0.62 -0.047
29.451 40.787 -7.50 -3.98 1.40 1.37 0.003
29.514 40.164 -21.41 -0.19 0.97 0.95 0.053
29.535 37.185 -19.25 -13.31 0.83 0.81 -0.022
