sta,stlat,stlon,phi,dphi,dt,ddt,num
BI.SHGR,32.11,48.8,23.296579405599697,3.5130444859421166,0.5664308988143772,0.11567345677553668,97
IR.TEH,35.75,51.39,-57.9568457809381,8.117662822767524,0.5642350088756545,0.24309457092703898,26
IR.TKDS,33.61,57.12,-51.5227384190215,7.758762787970772,0.3597121270758288,0.19932967666657167,25
KO.KOPR,39.99,41.85,57.16457423725738,12.29959348921744,1.1543857844465775,0.26026909151875877,5
XY.T1,36.33,52.12,-58.04084968055069,20.270175134911884,0.7221955664223113,0.695606210438061,5
ZH.Y5,34.08,49.66,-37.99999999999999,15.0,2.02,1.28,1
BI.TABS,33.65,57.12,-23.931511527547194,5.637572369577372,0.9220716183735834,0.21100184306725328,30
IQ.BHD,33.28,44.39,7.999999999999998,30.0,0.51,0.56,1
IQ.ERBL,36.38,44.21,45.99999999999999,17.0,1.74,0.82,1
IR.EMG,37.41,58.65,-41.36438215503213,14.464515969164756,0.41627788216782635,0.2009975124224178,3
IR.LMD1,27.34,53.16,22.72910279057391,2.7139827706414867,0.9539163016418906,0.08906307542948806,66
BI.GRMI,38.81,47.89,20.40955892269917,3.598240953988902,0.5490590363851102,0.1347828471841344,72
YB.D3,32.41,54.09,-34.94638256799812,7.123903424387503,1.3043260810185962,0.2222611077089287,6
IL.IR6,35.47,50.43,-83.0,50.0,0.92,1.79,1
IR.JIR1,36.71,49.8,27.66347923462376,8.155006574577667,0.6202633165380517,0.29175020448695804,11
IR.TVBK,29.99,56.76,-38.94796654082797,10.289929691753219,0.6827525583543735,0.3130315886778906,14
AE.MZR,23.0,53.48,25.333230210580695,13.585286158193355,1.0674224525341822,0.3706534769835567,5
KO.VRTB,39.16,41.46,53.59513641942329,5.267826876426369,1.3803597640100462,0.17558016705120313,18
XG.HAMR,39.61,42.99,75.65030974654434,11.567735301259274,1.998802965044543,0.8876619570534721,4
ZH.G3,34.01,50.38,34.0,26.0,0.32,0.35,1
BI.CHTH,35.91,51.13,-56.30801198193743,5.288550180853941,0.5705526362369635,0.1685325102082223,49
IQ.KEHH,36.68,45.05,89.52283029202984,15.583324420674813,0.5479739169413597,0.5057627902485512,5
IR.JHBN,32.23,50.67,-84.48480841308792,10.50661167498299,0.8599290776003984,0.418295150979943,12
KO.SIRT,37.5,42.44,71.33616589270255,8.09594828900388,0.7013912558180135,0.3224728785439943,13
IR.SRO,36.31,59.47,-76.45139765426192,4.678433016123177,0.36290178951340096,0.10722568337000135,51
IQ.KDDA,37.21,42.82,24.733175479108883,15.059142664102025,1.010993391788096,0.6441100665086502,3
IR.KHSK,26.76,57.05,58.59517886044121,20.35313243704762,0.6634137390571903,0.6229767250869008,2
BI.SHRO,36.01,56.01,49.92937622350196,2.4002877901758346,1.019134462221967,0.07895021275889354,91
XY.T5,36.19,52.02,73.0,22.0,1.11,0.78,1
YB.B1,29.84,52.58,-30.640746614660912,13.48842096021621,0.6795418720375239,0.2616772821625905,4
BI.ASAO,34.55,50.03,-9.897350383203904,3.464237664466619,0.5207533710743184,0.1279305913944543,103
BI.ZHSF,29.61,60.78,-34.97142276654401,1.5647524445581817,0.8382043329440917,0.05163914013645361,237
XI.UQSK,25.79,42.36,-2.1171378447337768,6.796138609534093,1.4661169322101475,0.31298961644118484,4
ZH.E5,33.44,49.01,39.50948924547066,28.38818220472894,0.9014703004260219,0.8203115939148434,3
XY.N4,36.38,51.25,65.0,35.0,0.25,0.82,1
IR.AFRZ,33.43,59.01,-7.506191528961875,5.020265723325576,0.5098816382301109,0.14096531441640942,37
IR.GENO,27.4,56.17,4.198975445351756,3.845893770556845,0.7173296091707483,0.12787416703829535,79
IR.SZD1,29.49,60.87,-36.79159048104149,10.195012094398823,0.8736109823704713,0.3102965526996456,9
UE.UMZA,22.71,55.16,15.357282530374247,5.798520274194289,0.39561459490133377,0.17531681653272613,34
XY.T6,35.98,52.29,75.51973725781663,15.348045478170828,0.4665015979604924,0.48699332644298116,4
