Station,Sta_Lat,Sta_Lon,Event,Eve_Lat,Eve_Lon,Baz,Dist,Depth,Phase,Filter(Sec),Max. corr.,Phi,std_phi,dt,std_dt,Sv_Sh_correc,Sv_Sh_uncorrec,Quality
AE.AJN,24.56,55,2014-174-19-19-15,-29.98,-177.73,109,133,20,PKSbc,5-20s,0.98,-56,42,0.52,0.58,35.66,9.63,fair
AE.AJN,24.56,55,2014-174-20-53-09,51.85,178.74,31,89,109,SKKSac,5-20s,0.98,42,52,1.25,1.65,7.76,4.15,fair
AE.AJN,24.56,55,2014-175-03-15-35,52.21,176.7,32,88,4,SKSac,5-20s,0.98,42,5,1.78,0.64,20.36,5.44,fair
AE.AJN,24.56,55,2014-180-15-52-23,-14.78,-175.26,88,132,9,PKSbc,5-20s,0.97,-49,30,0.6,0.46,12.31,3.66,fair
AE.AJN,24.56,55,2014-202-14-54-41,-19.8,-178.4,96,131,615,PKSbc,5-20s,0.98,-12,36,1.17,1.06,12.12,3.96,fair
AE.AJN,24.56,55,2014-235-22-32-23,-32.69,-71.44,247,133,32,PKSbc,5-20s,0.99,37,28,0.69,0.44,17.33,3.93,fair
AE.AJN,24.56,55,2014-235-22-32-23,-32.69,-71.44,247,133,32,SKKSac,5-20s,0.95,49,44,1.24,1.09,7.21,3.34,fair
AE.AJN,24.56,55,2014-236-23-21-45,-14.6,-73.57,272,131,101,PKSbc,5-20s,0.99,44,23,0.88,0.37,10.45,2.56,fair
AE.AJN,24.56,55,2014-236-23-21-45,-14.6,-73.57,272,131,101,SKKSac,5-20s,0.95,50,15,1.02,0.18,17.79,2.63,good
AE.AJN,24.56,55,2014-287-03-51-34,12.53,-88.12,312,128,40,SKSac,5-20s,Null,Null,Null,Null,Null,13.15,6.17,goodNull
AE.AJN,24.56,55,2014-305-18-57-22,-19.69,-177.76,95,131,434,PKSbc,5-20s,0.99,-66,54,0.89,1.29,10.51,3.88,fair
AE.AJN,24.56,55,2014-305-18-57-22,-19.69,-177.76,95,131,434,SKSac,5-20s,0.95,-12,54,1.55,1.99,7.57,3.2,fair
AE.AJN,24.56,55,2014-320-22-33-20,-37.65,179.66,119,131,22,SKKSac,5-20s,0.94,10,11,1.45,1.05,10.06,3.4,fair
AE.AJN,24.56,55,2014-342-08-54-52,7.94,-82.69,303,128,20,SKKSac,5-20s,Null,Null,Null,Null,Null,10.35,3.86,fairNull
AE.AJN,24.56,55,2015-023-03-47-27,-17.03,168.52,97,118,220,SKKSac,5-20s,Null,Null,Null,Null,Null,12.74,10.95,goodNull
AE.AJN,24.56,55,2015-023-03-47-27,-17.03,168.52,97,118,220,SKSac,5-20s,0.99,-22,37,0.47,0.47,30.17,6.5,fair
AE.AJN,24.56,55,2015-047-22-00-53,-55.52,-28.26,216,106,13,SKSac,5-20s,1,40,4,1.7,1.03,52.51,13.34,fair
AE.AJN,24.56,55,2015-077-18-27-29,-36.12,-73.52,243,135,13,PKSbc,5-20s,0.95,17,37,0.57,0.97,13.21,4.91,fair
AE.AJN,24.56,55,2015-082-04-51-38,-18.35,-69.17,265,128,130,SKKSac,5-20s,0.95,59,27,1.63,0.93,6.72,2.11,fair
AE.AJN,24.56,55,2015-089-08-18-01,-15.39,-172.94,88,134,15,PKSbc,5-20s,1,-59,20,0.74,0.32,31.39,4.04,good
AE.AJN,24.56,55,2015-089-08-18-01,-15.39,-172.94,88,134,15,SKKSac,5-20s,0.95,12,63,1.09,2.57,8.31,4.31,fair
AE.AJN,24.56,55,2015-089-08-48-25,-15.5,-173.03,88,134,11,PKSbc,5-20s,1,-47,20,0.69,0.2,29.65,4.1,fair
