Sta.	Net.	Lon.	Lat.	N_split	N_null	PHI	DPHI	TLAG	DTLAG
ATIM	6G	27.563	40.083	9	1	6.0	1.0	1.80	0.04
BOZM	6G	28.782	40.534	1	0	-88.0	3.8	2.49	0.23
BUYM	6G	29.118	40.852	9	1	21.0	1.2	1.26	0.04
CMHM	6G	27.97	40.012	3	1	10.0	1.2	1.62	0.08
EREM	6G	28.891	40.045	6	0	15.0	1.5	1.65	0.02
GBZM	6G	29.45	40.786	14	0	48.0	1.8	1.50	0.03
IGDM	6G	29.201	40.264	24	0	14.0	0.8	1.38	0.01
KKZM	6G	27.345	41.127	2	0	48.0	6.0	1.26	0.08
KMRM	6G	27.069	40.418	5	1	21.0	1.5	1.74	0.07
KNLM	6G	27.526	40.27	3	2	57.0	5.2	0.60	0.05
KRCM	6G	28.332	40.265	3	0	13.0	2.8	1.71	0.04
KVKM	6G	26.888	40.604	6	0	14.0	2.2	2.04	0.04
MADM	6G	27.665	40.564	0	1	-	-	-	-	
MARM	6G	27.961	40.967	2	0	21.0	8.0	1.14	0.10
NEVM	6G	27.263	39.954	10	0	46.0	1.2	1.71	0.02
YNKM	6G	27.397	40.826	13	1	32.0	1.2	2.13	0.02
GANJ	AB	46.3297	40.6519	1	2	-14.0	5.0	1.45	0.23
AKMS	CQ	32.335	35.018	6	3	-10.0	1.8	0.69	0.04
ALEF	CQ	32.599	35.156	9	6	10.0	1.0	1.02	0.07
ASGA	CQ	33.248	34.786	5	4	47.0	5.8	0.42	0.02
ATHA	CQ	33.396	35.141	0	5	-	-	-	-	
MVOU	CQ	33.632	35.016	9	0	27.0	1.8	0.78	0.03
NATA	CQ	32.5699	34.7789	1	1	83.0	3.0	2.04	0.09
PARA	CQ	34.04	34.994	2	2	-62.0	1.8	0.96	0.10
SUNI	CQ	32.882	34.755	1	1	17.0	6.8	1.47	0.24
TROD	CQ	32.8661	34.9472	11	1	23.0	1.0	1.08	0.04
APE	GE	25.523	37.0727	22	5	19.0	2.0	0.62	0.03
APEZ	GE	24.8859	34.9777	15	4	52.0	3.2	0.33	0.03
CSS	GE	33.331	34.9611	36	6	17.0	1.5	1.05	0.04
EIL	GE	34.9512	29.6699	113	16	8.0	0.2	1.25	0.00
FODE	GE	24.9576	35.3797	4	7	-29.0	3.0	0.45	0.04
GHAJ	GE	35.5665	31.3034	1	0	0.0	8.2	1.55	0.21
GVD	GE	24.0874	34.8391	0	3	-	-	-	-	
IMMV	GE	23.9811	35.4606	4	3	20.0	2.2	0.55	0.02
ISP	GE	30.5093	37.8433	41	3	3.0	0.5	1.68	0.02
KARP	GE	27.1611	35.5471	6	1	14.0	1.5	0.93	0.07
KERA	GE	23.5577	35.3692	2	1	-13.0	4.0	1.00	0.12
KRIS	GE	25.503	35.178	9	16	1.0	45.2	0.10	0.04
KTHA	GE	23.0621	36.2566	3	0	-17.0	2.5	0.95	0.09
LAST	GE	25.4786	35.1611	2	3	83.0	1.2	1.60	0.18
MRNI	GE	35.392	33.0118	8	2	11.0	0.8	1.45	0.02
MSBI	GE	35.358	31.3126	6	0	-1.0	0.8	1.48	0.03
SALP	GE	35.1914	32.0686	1	0	21.0	9.2	1.08	0.23
SANT	GE	25.4593	36.3705	4	3	-14.0	2.0	0.55	0.04
SIVA	GE	24.81	35.0175	0	1	-	-	-	-	
SKD	GE	23.928	35.412	5	0	29.0	6.2	0.45	0.03
UJAP	GE	35.4644	31.952	4	0	-5.0	1.2	1.48	0.04
ZKR	GE	26.217	35.1147	1	9	-49.0	13.0	1.00	0.17
AKH	GO	43.4929	41.41	2	1	34.0	7.8	1.02	0.44
BATM	GO	41.6936	41.604	3	0	15.0	1.5	1.32	0.07
ONI	GO	43.4525	42.5905	2	0	56.0	3.0	1.47	0.07
KOSK	HC	26.9785	36.7516	6	0	-31.0	4.2	0.93	0.05
AMGA	HL	25.8938	36.8316	3	2	8.0	1.2	0.51	0.06
ARG	HL	28.1212	36.2136	75	5	21.0	0.8	0.75	0.01
EAG2	HL	26.1079	38.5438	11	0	6.0	1.2	1.32	0.03
EAG3	HL	26.5693	39.085	1	0	0.0	4.8	1.80	0.07
KSL	HL	29.5856	36.1503	22	3	-9.0	1.0	1.17	0.03
LIA	HL	25.1805	39.8973	48	2	37.0	0.8	2.01	0.02
NISR	HL	27.1309	36.6106	3	0	28.0	2.0	1.23	0.03
SMG	HL	26.8377	37.7043	58	2	-1.0	0.2	1.32	0.01
SMTH	HL	25.5305	40.4709	29	0	1.0	1.2	1.35	0.02
ALN	HT	26.0497	40.8957	64	3	10.0	0.2	1.62	0.00
CHOS	HT	26.0506	38.3869	54	2	27.0	0.5	1.32	0.01
SIGR	HT	25.8553	39.2114	87	4	25.0	0.5	2.07	0.01
THAS	HT	24.7194	40.6064	18	4	-1.0	1.2	1.29	0.04
AMAZ	IS	34.9154	31.5325	8	0	19.0	2.5	1.80	0.04
AMZI	IS	34.912	31.549	4	2	5.0	1.8	1.18	0.06
BGIO	IS	35.0877	31.7219	10	0	6.0	1.0	1.48	0.03
GEM	IS	35.6631	33.2105	18	2	11.0	0.8	1.52	0.04
