index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,RCcoeff_corrcted,Null,Quality,CpH
0,AB.GANJ,20110824_174611,-7.6203,-74.538,149.3,7,285.36,SKS,-88.64,22,0.7,0.95,61.36,22.25,0.3,0.98,-0.83,TRUE,Fair,0.87
1,AB.GANJ,20110830_065741,-6.3592,126.7502,467.2,6.9,100.91,SKS,-24.09,21.5,0.8,0.95,-35.09,44.75,0.7,0.98,1,FALSE,Fair,0.73
2,AB.GANJ,20110903_044858,-56.5611,-26.9231,96.3,6.4,215.73,SKS,-59.27,44.75,2.9,0.98,71.73,44.75,0.3,0.98,1,TRUE,Fair,0.85
3,AB.GANJ,20110909_194133,49.3886,-127.0648,15.4,6.5,355.71,SKS,-64.29,44.75,0.6,0.98,-44.29,44.75,0.5,0.98,1,FALSE,Fair,0.59
4,AB.GANJ,20111014_033515,-6.6259,147.9311,43.2,6.5,87.33,SKS,-44.67,13.25,0.8,0.18,-47.67,18,0.8,0.35,-0.92,FALSE,Good,0.7
5,AB.GANJ,20111122_184816,-15.3083,-65.1634,560.3,6.6,272.1,SKS,88.1,44.75,2.2,0.98,46.1,44.75,0.2,0.98,1,TRUE,Fair,0.87
6,AB.GANJ,20111128_122647,-5.5101,153.801,43.2,6.1,82.52,SKS,-53.48,44.75,0.8,0.98,-51.48,44.75,0.8,0.98,1,FALSE,Good,0.59
7,AB.QZX,20111117_015704,-1.7479,-81.7057,19.6,6,295.23,SKS,66.23,44.75,0.7,0.98,77.23,44.75,0.7,0.98,1,FALSE,Fair,0.61
8,AB.QZX,20111122_184816,-15.3083,-65.1634,560.3,6.6,271.66,SKS,-3.34,44.75,2.9,0.98,-48.34,44.75,0.1,0.98,0.92,TRUE,Good,0.92
9,AB.ZKT,20111122_184816,-15.3083,-65.1634,560.3,6.6,272.79,SKS,15.79,25.25,2.7,0.82,65.79,44.75,0.5,0.98,0.99,TRUE,Fair,0.85
10,AM.ALAV,20180110_025131,17.4743,-83.5193,10,7.5,309.49,SKS,30.49,16.75,1.9,0.9,-9.51,44.75,0.5,0.98,1,TRUE,Good,0.94
