index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,Null,Quality,CpH
1,AB.GANJ,20110824_174611,-7.6203,-74.538,149.3,7,285.36,SKS,-88.64,22,0.7,0.95,61.36,22.25,0.3,0.98,TRUE,Fair,0.87
2,AB.GANJ,20110830_065741,-6.3592,126.7502,467.2,6.9,100.91,SKS,-24.09,21.5,0.8,0.95,-35.09,44.75,0.7,0.98,FALSE,Fair,0.73
3,AB.GANJ,20110903_044858,-56.5611,-26.9231,96.3,6.4,215.73,SKS,-59.27,44.75,2.9,0.98,71.73,44.75,0.3,0.98,TRUE,Fair,0.85
4,AB.GANJ,20111014_033515,-6.6259,147.9311,43.2,6.5,87.33,SKS,-44.67,13.25,0.8,0.18,-47.67,18,0.8,0.35,FALSE,Good,0.7
5,AB.GANJ,20111122_184816,-15.3083,-65.1634,560.3,6.6,272.1,SKS,88.1,44.75,2.2,0.98,46.1,44.75,0.2,0.98,TRUE,Fair,0.87
6,AB.GANJ,20111128_122647,-5.5101,153.801,43.2,6.1,82.52,SKS,-53.48,44.75,0.8,0.98,-51.48,44.75,0.8,0.98,FALSE,Good,0.59
7,AB.QZX,20111117_015704,-1.7479,-81.7057,19.6,6,295.23,SKS,66.23,44.75,0.7,0.98,77.23,44.75,0.7,0.98,FALSE,Fair,0.61
8,AB.QZX,20111122_184816,-15.3083,-65.1634,560.3,6.6,271.66,SKS,-3.34,44.75,2.9,0.98,-48.34,44.75,0.1,0.98,TRUE,Good,0.92
9,AB.ZKT,20111122_184816,-15.3083,-65.1634,560.3,6.6,272.79,SKS,15.79,25.25,2.7,0.82,65.79,44.75,0.5,0.98,TRUE,Fair,0.85
10,AM.ALAV,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.77,SKKS,71.77,44.75,3.9,0.98,12.77,44.75,0.5,0.98,TRUE,Fair,0.8
11,AM.ALAV,20140317_051133,-20.06,-70.8284,5.3,6.4,270.77,SKKS,71.77,44.75,3.9,0.98,12.77,44.75,0.4,0.98,TRUE,Fair,0.82
12,AM.ALAV,20140924_111613,-23.7849,-66.5888,204.5,6.2,264.52,SKKS,76.52,44.75,3.9,0.98,25.52,44.75,0.4,0.98,TRUE,Fair,0.89
13,AM.ALAV,20150620_021007,-36.3349,-73.6674,17.4,6.4,254.85,SKKS,58.85,44.75,3.9,0.98,-2.15,44.75,0.1,0.98,TRUE,Good,0.95
14,AM.ALAV,20150918_091044,-32.3681,-72.2292,8,6.2,258.83,SKKS,-21.17,44.75,3.9,0.98,-75.17,44.75,0.4,0.98,TRUE,Fair,0.82
15,AM.ALAV,20180114_091845,-15.7589,-74.7095,39,7.1,277.47,SKKS,-77.53,44.75,1.7,0.98,-34.53,44.75,0.2,0.98,TRUE,Fair,0.89
16,AM.ALAV,20190926_163618,-40.8152,-72.0019,129,6.1,248.51,SKKS,34.51,17.25,1.9,0.82,20.51,44.75,1.7,0.9,FALSE,Fair,0.22
17,AM.ALAV,20180110_025131,17.4743,-83.5193,10,7.5,309.49,SKS,30.49,16.75,1.9,0.9,-9.51,44.75,0.5,0.98,TRUE,Good,0.94
18,AM.ALAV,20180906_154914,-18.4952,179.3555,617.87,7.9,73.32,SKS,-15.68,44.75,3.9,0.98,28.32,44.75,0,0.98,TRUE,Good,0.93
19,AM.ALAV,20130707_203007,-6.036,149.7262,65.9,6.6,84.49,SKS,-26.51,3.75,3.9,0.25,-88.51,44.75,0.6,0.98,TRUE,Fair,0.87
20,AM.ALAV,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.77,SKS,65.77,44.75,3.9,0.98,4.77,44.75,0.9,0.98,TRUE,Fair,0.8
21,AM.ALAV,20140411_202913,11.7198,-86.014,142.3,6.6,307.85,SKS,12.85,44.75,3.9,0.98,-48.15,44.75,1,0.98,FALSE,Poor,0.72
22,AM.ALAV,20140507_042039,-7.0145,154.9469,41,6,81.68,SKS,-84.32,6.75,3.9,0.73,-32.32,44.75,0.6,0.98,TRUE,Fair,0.82
23,AM.ALAV,20150916_140322,-6.0114,151.4768,6,6.1,83.28,SKS,85.28,44.75,1.9,0.98,-48.72,44.75,0.1,0.98,TRUE,Good,0.93
24,AM.ALAV,20121210_165309,-6.4969,129.8684,161.5,7.1,97.94,SKS,77.94,44.75,3.9,0.98,15.94,44.75,0.4,0.98,TRUE,Good,0.91
25,AM.ALAV,20131201_012415,-7.0288,128.4151,25.9,6.5,99.29,SKS,80.29,28,3.9,0.48,18.29,44.75,0.2,0.98,TRUE,Good,0.9
26,AM.ALAV,20140113_040104,18.9922,-66.8685,30.9,6.3,298.44,SKS,4.44,44.75,3.9,0.98,-62.56,44.75,0.3,0.98,TRUE,Fair,0.84
27,AM.ALAV,20140218_092714,14.596,-58.9719,28.3,6.5,290.04,SKS,-89.96,44.75,3.9,0.98,23.04,44.75,0.2,0.98,TRUE,Good,0.94
28,AM.ALAV,20130707_183531,-4.0134,153.9277,387.1,7.3,80.03,SKS,62.03,44.75,3.9,0.98,-0.97,44.75,0.1,0.98,TRUE,Fair,0.89
29,AM.ALAV,20140412_201438,-11.2581,162.1387,15.3,7.6,80.06,SKS,61.06,30.25,3.9,0.65,2.06,44.75,0.5,0.98,FALSE,Poor,0.72
30,AM.ALAV,20140413_123619,-11.4669,161.9601,34.2,7.4,80.37,SKS,-25.63,44.75,3.9,0.98,-80.63,44.75,0.5,0.98,TRUE,Fair,0.89
31,AM.ALAV,20151217_194953,15.8009,-93.6294,85,6.6,316.82,SKS,32.82,44.75,1.7,0.98,-8.18,44.75,0.7,0.98,FALSE,Poor,0.72
32,AM.ALAV,20160518_075702,0.4261,-79.7899,16,6.7,294.85,SKS,17.85,1,2.7,0.4,-22.15,44.75,0.4,0.98,TRUE,Good,0.97
33,AM.ALAV,20170713_033608,-4.7722,153.1958,34.78,6.4,81.13,SKS,83.13,44.75,3.9,0.98,38.13,44.75,0.1,0.98,TRUE,Fair,0.87
34,AM.ALAV,20180308_173951,-4.3853,153.1874,22.53,6.8,80.84,SKS,-5.16,23.75,3.9,0.75,-47.16,44.75,0,0.98,TRUE,Good,0.97
35,AM.ALAV,20180324_112332,-5.4959,151.4971,33,6.3,82.87,SKS,-2.13,44.75,1.2,0.98,37.87,44.75,0.2,0.98,TRUE,Fair,0.88
36,AM.ALAV,20180509_075755,-5.8916,151.7962,10,6,82.97,SKS,85.97,44.75,3.9,0.98,-46.03,44.75,0.1,0.98,TRUE,Fair,0.87
37,AM.ALAV,20181101_221951,-19.5882,-69.2923,102,6.2,270.2,SKS,10.2,44.75,3.9,0.98,63.2,44.75,0.6,0.98,FALSE,Poor,0.64
38,AM.ALAV,20200721_205625,-20.8045,-178.6325,605.2,6,74.14,SKS,-32.86,44.75,3.9,0.98,-3.86,44.75,0,0.98,TRUE,Good,0.98
39,AM.ALAV,20180325_201447,-6.6247,129.8138,169,6.4,98.07,SKS,87.07,44.75,1.5,0.98,54.07,44.75,0.5,0.98,TRUE,Fair,0.8
40,AM.ALAV,20180728_170723,-7.1221,122.7474,577.48,6,103.12,SKS,55.12,17.25,1.4,0.55,42.12,44.75,1.5,0.98,FALSE,Fair,0.56
