id|Station|Latitude|Longitude|phi|dt|refID|Phase|pmax|pmin|dtmax|dtmin|remark
47|ANTO|39.9|32.8|25.0|1.3|4|SKS|||||
48|ASH|37.9|58.3|25.0|0.8|4|SKS|||||
52|BKR|41.7|43.5|90.0|1.7|4|SKS|||||
67|GRS|39.0|46.3|100.0|1.5|4|SKS|||||
199|KIV|43.956|42.688|88.0|1.2|9|SKS|3.0||0.2||
687|SEV|44.5|33.7|125.0|0.7|41|SKS|||||
688|SIM|45.0|34.1|125.0|0.6|41|SKS|||||
690|YAL|44.4|34.2|135.0|0.4|41|SKS|||||
736|AFIF|23.931|43.04|348.0|1.5|46|SKS|2.0||0.1||
737|HALM|22.8454|44.3173|2.0|1.1|46|SKS|2.0||0.1||
738|RANI|21.3116|42.7761|2.0|1.5|46|SKS|2.0||0.2||
739|RAYN|23.522|45.5008|4.0|1.0|46|SKS|2.0||0.1||
740|RIYD|24.722|46.6643|15.0|0.5|46|SKS|6.0||0.1||
741|SODA|18.2921|42.3769|349.0|1.4|46|SKS|2.0||0.1||
742|TAIF|21.281|40.349|4.0|1.3|46|SKS|4.0||0.2||
743|UQSK|25.789|42.36|356.0|1.5|46|SKS|2.0||0.2||
1207|RAYN|23.5225|45.5032|5.0|1.31|72|SKS|1.0||0.05||
2072|ISPA|37.843|30.509|177.0|1.7|117|||13.0||0.35|
2745|DAMV|35.63|51.97|61.0|1.6|141||6.5|6.5|0.15|0.15|
2746|THKV|35.902|50.914|54.0|1.5|141||6.2|6.2|0.19|0.19|
2747|CHTH|35.908|51.126|41.0|1.8|141||10.9|10.9|0.27|0.27|
2748|AFJ|35.856|51.713|47.0|1.2|141||24.2|24.2|0.73|0.73|
2749|DMV|35.577|52.032|35.0|1.9|141||4.5|4.5|0.08|0.08|
2750|FIR|35.642|52.754|51.0|1.8|141||15.7|15.7|0.13|0.13|
2751|GZV|36.386|50.218|42.0|1.7|141||14.5|14.5|0.74|0.74|
2752|MHD|35.686|50.668|58.0|1.7|141||4.5|4.5|0.07|0.07|
2768|AGIN|38.9391|38.713|26.0|1.02|143||||||Mean calculated from 17 individual splitting measurements
2769|AHLT|38.7481|42.477|55.0|1.18|143||||||Mean calculated from 5 individual splitting measurements
2770|BNGL|38.9195|40.5966|51.0|1.2|143||||||Mean calculated from 16 individual splitting measurements
2771|BTLS|38.4311|42.1238|23.0|0.95|143||||||Mean calculated from 11 individual splitting measurements
2772|BYBT|40.2353|40.2655|49.0|1.33|143||||||Mean calculated from 20 individual splitting measurements
2773|BYKN|38.1665|41.7823|42.0|0.98|143||||||Mean calculated from 9 individual splitting measurements
2774|CMCY|39.9205|43.1968||0.0|143||||||0 individual splitting measurements
2775|DGRL|41.0568|43.3267|44.0|1.19|143||||||Mean calculated from 17 individual splitting measurements
2776|DGSU|39.1131|42.7298|48.0|1.21|143||||||Mean calculated from 11 individual splitting measurements
2777|DYBR|37.823|40.3186|31.0|1.13|143||||||Mean calculated from 26 individual splitting measurements
2778|ERGN|38.2597|39.7287|30.0|0.99|143||||||Mean calculated from 14 individual splitting measurements
2779|EZRM|40.1035|41.3636|50.0|1.7|143||||||Mean calculated from 16 individual splitting measurements
