station,lon,lat,phi,dt
AFFS,43.001,23.927,353.2,1.466
AFIF,43.04,23.931,347.0,1.378
ALWS,35.065,29.31,2.89,1.522
ARSS,43.237,25.881,8.33,1.124
AYUS,35.269,28.189,2.75,1.518
BDAS,35.101,28.432,1.91,1.702
BLJS,41.599,19.881,356.8,1.01
DJNS,43.543,17.707,350.57,1.514
HALM,44.32,22.845,358.62,0.966
HAQS,34.93,29.055,10.57,1.608
HASS,49.694,25.19,352.0,1.266
HILS,41.792,27.384,343.0,1.162
HIT,38.402,32.475,6.5,1.512
JMOS,35.109,29.169,3.07,1.606
KBRS,39.262,25.789,356.57,1.358
LTHS,40.411,20.275,351.14,1.228
NAMS,42.208,19.171,356.88,1.346
QURS,37.324,31.386,354.0,1.314
RANI,42.78,21.312,6.73,1.664
RAYN,45.5,23.522,6.26,1.164
RIYD,46.64,24.722,4.0,1.414
RUW,35.841,29.743,0.67,1.3
SODA,42.38,18.292,352.86,1.51
TAIF,40.35,21.281,8.67,1.208
TATS,43.478,19.541,357.33,1.538
TAYS,34.872,28.551,7.47,1.856
TBKS,36.549,28.225,346.75,1.212
UQSK,42.36,25.789,358.0,1.456
YNBS,37.992,24.34,355.71,1.464
