Sta.	Net.	Lon.	Lat.	Date	Time	EVLO	EVLA	EVDP	Dist.	Baz.	Phase	PHI	DPHI	TLAG	DTLAG	SPOL
ATIM	6G	27.56	40.08	2013134	0052	145.29	18.73	602.20	97.68	57.83	SKS	5.00	5.00	1.44	0.09	46.82
ATIM	6G	27.56	40.08	2013327	0815	-176.54	-17.12	371.00	149.01	49.35	SKKS	10.00	11.25	1.56	0.22	42.03
ATIM	6G	27.56	40.08	2014001	1624	167.25	-13.86	187.00	136.13	65.05	PKS	10.00	7.25	2.19	0.16	49.54
ATIM	6G	27.56	40.08	2014085	0356	179.29	-26.17	495.00	152.69	68.11	SKKS	2.00	6.50	1.80	0.13	59.52
ATIM	6G	27.56	40.08	2014093	0221	-70.58	-20.31	24.07	108.86	259.06	SKS	4.00	3.50	2.19	0.13	66.72
ATIM	6G	27.56	40.08	2014236	2344	-73.57	-14.60	101.00	107.70	265.65	SKS	11.00	6.75	1.53	0.21	75.51
ATIM	6G	27.56	40.08	2014336	0531	123.13	6.16	614.00	90.32	81.75	SKS	-2.00	1.75	1.86	0.06	68.31
ATIM	6G	27.56	40.08	2015023	0414	168.52	-17.03	219.96	139.18	67.21	SKKS	-2.00	4.75	1.53	0.15	58.98
ATIM	6G	27.56	40.08	2015082	0514	-69.17	-18.35	130.00	106.63	259.86	SKS	10.00	4.25	1.86	0.11	64.43
BOZM	6G	28.78	40.53	2013040	1438	-77.39	1.13	145.00	101.51	281.50	SKS	-88.00	3.75	2.49	0.23	289.37
BUYM	6G	29.12	40.85	2013096	0505	138.48	-3.52	66.00	106.90	79.80	SKS	47.00	5.50	1.53	0.14	77.27
BUYM	6G	29.12	40.85	2013138	0427	22.07	-53.07	10.00	93.75	184.25	SKS	67.00	3.50	1.47	0.09	185.05
BUYM	6G	29.12	40.85	2013264	0159	120.01	-7.33	549.92	95.41	94.96	SKS	59.00	8.25	1.11	0.13	94.68
BUYM	6G	29.12	40.85	2013307	1123	123.35	4.66	532.00	90.18	83.74	SKS	45.00	10.25	0.93	0.17	77.20
