Cluster,length,clon,clat,meanphi,meandt
0,10,42.534,43.94,35,0.745294035479
1,11,43.6263636364,40.4018181818,34,1.43790153601
2,7,41.8457142857,41.4742857143,59,1.7501604607
3,26,44.5361538462,40.1511538462,53,0.666597945487
4,17,43.2611764706,42.5694117647,48,1.18949151912
5,5,44.5,41.22,43,1.31503354217
6,19,43.2726315789,41.3963157895,38,1.21676806362
7,4,46.35,40.585,-42,0.743550002395
8,3,46.11,41.4466666667,57,1.00926528691
9,9,44.6333333333,41.7355555556,36,1.07120617439
10,10,44.105,40.01,69,0.78977230501
11,9,43.8166666667,41.4044444444,40,0.941483253024
12,8,42.9,42.43625,37,1.05467413844
13,3,42.6566666667,41.74,25,1.6486537743
14,3,45.0866666667,41.0966666667,53,0.786376649979
15,1,45.33,40.39,29,0.6
16,4,44.94,40.1375,74,0.24953251727
17,7,41.4842857143,41.3742857143,48,1.22744169996
18,5,44.084,40.99,55,0.871211326555
19,2,43.725,42.55,72,1.05784744838
20,1,45.55,40.88,54,0.5
